date,price_open_usd,price_close_usd,price_high_usd,price_low_usd,price_avg_usd,price_std_usd,price_change_pct,avg_buyers_pct,avg_sellers_pct,max_buyers_pct,max_sellers_pct,buy_sell_balance,dominant_sentiment,total_volume_notional,avg_volume_per_interval,max_volume_spike,volatility_index,buyer_surge_count,seller_surge_count,price_surge_count,price_drop_count,volume_anomaly_count,high_severity_events,moderate_severity_events,mild_severity_events,first_event_time,last_event_time
2025-10-09,0.01989734,0.01803707,0.02065765,0.01794695,0.0193091406161137,0.0010599113759919,-9.349340163056976,48.1378672985782,51.8621327014218,94.56,97.51,46.44549763033176,Bearish,1436249.1068950929,6806.867805190013,47591.70748602525,14.038429021216425,3,3,0,1,4,4,6,1,2025-10-09 17:30:01.732094+00:00,2025-10-09 20:29:37.605032+00:00
2025-10-10,0.01643846,0.01613014,0.01859317,0.01601331,0.0169984110240963,0.0008372277180689,-1.8756014857839325,38.634698795180725,61.36530120481928,95.56,98.37,31.32530120481928,Bearish,1855030.144214083,5587.440193415912,88733.0984576713,15.177065646564705,5,11,0,1,13,8,22,0,2025-10-10 08:12:25.218606+00:00,2025-10-10 20:26:29.679838+00:00
2025-10-11,0.0128915,0.01596629,0.01627335,0.01287329,0.0142905970520231,0.001176389005897,23.8512973664818,39.60049132947977,60.39950867052022,88.02,97.3,29.47976878612717,Bearish,2058448.1008614064,5949.271967807533,61463.22947697659,23.792287947260057,3,9,2,2,7,9,11,3,2025-10-11 09:20:28.383080+00:00,2025-10-11 20:20:27.248583+00:00
2025-10-12,0.01660153,0.01769296,0.01803473,0.01629144,0.0171221123563218,0.0004253175631733,6.574273575989688,49.233764367816086,50.76623563218392,93.94,95.36,50.57471264367817,Bearish,1980276.3169892663,5690.449186750766,44588.29534867334,10.181512442630009,2,4,0,0,14,2,18,0,2025-10-12 10:30:20.191003+00:00,2025-10-12 20:49:43.278297+00:00
2025-10-13,0.01788522,0.0182018,0.018395,0.01777707,0.0181459182424242,0.0001344851224519,1.7700648915696888,24.34278787878788,75.65721212121211,64.46,96.92,10.303030303030305,Bearish,568189.7188665872,3443.574053736892,10810.005192164394,3.4053388301690544,0,8,0,0,5,6,7,0,2025-10-13 10:31:04.819236+00:00,2025-10-13 15:39:39.984911+00:00
2025-10-14,0.0153548,0.0169298,0.01700976,0.01532349,0.016175025194805195,0.0005532610248091999,10.25737880011461,50.362337662337666,49.63766233766234,93.11,81.68,38.63636363636363,Bearish,780031.0126090073,2532.568222756517,14496.1440030571,10.425146048870232,5,0,0,1,8,5,9,0,2025-10-14 11:14:55.251953+00:00,2025-10-14 20:16:18.195062+00:00
